,,,,,,,,,,,,,
,All Plans,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Provider,Plan Name,Plan Type,Monthly Price (SAR),Data (GB),Social Media Data,Local Call Minutes,International Call Minutes,SMS,Roaming Data GB,Contract Terms,Special Features,URL
,Salam,Solo 149,Prepaid,171.35,59,Unlimited,Unlimited,-,Unlimited,,30 days,25GB Data Rollover,https://salammobile.sa/en/solo-postpaid/
,Lebara,Data 1GB - 1 Day,Data-only,5,1,-,-,-,-,,1 day,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data 3GB - 1 Day,Data-only,10,3,-,-,-,-,,1 day,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data 10GB - 1 Week,Data-only,35,10,-,-,-,-,,7 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data 15GB+5GB SM - 1 Month,Data-only,65,15,5 GB,-,-,-,,30 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data Unlimited SM - 1 Month,Data-only,70,-,Unlimited,-,-,-,,30 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data 60GB - 1 Month,Data-only,95,60,-,-,-,-,,30 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data 50GB+Unlimited SM - 1 Month,Data-only,115,50,Unlimited,-,-,-,,30 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data 100GB+100GB SM - 3 Months,Data-only,260,100,100 GB,-,-,-,,90 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data Unlimited - 1 Month,Data-only,325,Unlimited,-,-,-,-,,30 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Salam,Solo 149 (Postpaid),Postpaid,171.35,59,Unlimited,Unlimited,-,Unlimited,,30 days,25GB Data Rollover,https://salammobile.sa/en/solo-postpaid/
,STC,Mofawtar 2+,Postpaid,172.5,55,Unlimited,Unlimited STC + 400 other,-,150 within stc + 150 to other local networks,,-,Free Amazon Prime subscription,https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&productId=1-ACYC3YR
,STC,Sawa 150,Prepaid,172.5,55,Unlimited,3000,-,-,,Expires 31/03/2026,-,https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&simType=REGULAR&productId=PRE_SPN_SAWA150_VAL_1M_R
,Virgin Mobile,Baqah 150,Prepaid,172.5,55,Unlimited,Unlimited,-,-,,4 weeks,-,https://virginmobile.sa/join/#/category
,Virgin Mobile,Switch 150,Postpaid,172.5,55,Unlimited,Unlimited,-,Unlimited,,-,-,https://virginmobile.sa/join/#/category
,Jawwy,Jawwy 150,Prepaid,172.5,72,Unlimited,1000,-,-,,30 days,-,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwy-150-hybrid.html
,Yaqoot,Voice Package 3X 5G,Prepaid,175,75,7 Apps Unlimited,750,-,750,,4 weeks,5G enabled,https://yaqoot.sa/en#voice-packages
,Zain,Shabab 179,Prepaid,179,74,Unlimited,1150,-,-,,4 weeks,Extra benefit,https://shop.sa.zain.com/en/product/prepaid-voice-shabab-digital/shabab-179
,Zain,Postpaid 180,Postpaid,180,72,Unlimited,1300,-,-,,-,"1 Data SIM, Installment up to 4320 SAR",https://shop.sa.zain.com/en/product/postpaid-180
,Lebara,Yalla 180,Prepaid,207,95,Unlimited,600,-,-,,30 days,-,https://lebara.sa/en/number-booking-new/voice-plans?category=prepaid
,Lebara,eze 200,Postpaid,230,93,Unlimited,Unlimited,-,-,,No contract,5G enabled,https://lebara.sa/en/number-booking-new/voice-plans?category=postpaid
,STC,Sawa 175,Prepaid,201.25,85,Unlimited,1000,-,-,,Expires 31/03/2026,-,https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&simType=REGULAR&productId=PRE_SPN_SAWA175_VAL_1M_R
,Salam,Solo 179,Prepaid,205.85,79,Unlimited,Unlimited,-,Unlimited,,30 days,40GB Data Rollover,https://salammobile.sa/en/solo-179-prepaid/
,Salam,Solo 179 (Postpaid),Postpaid,205.85,79,Unlimited,Unlimited,-,Unlimited,,30 days,40GB Data Rollover,https://salammobile.sa/en/solo-179-postpaid/
,Virgin Mobile,Switch 180,Postpaid,207,75,Unlimited,Unlimited,-,Unlimited,,-,-,https://virginmobile.sa/join/#/category
,Virgin Mobile,Baqah 185,Prepaid,212.75,80,Unlimited,Unlimited,-,-,,4 weeks,-,https://virginmobile.sa/join/#/category
,Lebara,Yalla 220,Prepaid,253,120,Unlimited,700,-,-,,30 days,-,https://lebara.sa/en/number-booking-new/voice-plans?category=prepaid
,Yaqoot,Voice Package 4X 5G,Prepaid,220.57,100,Unlimited,1000,-,1000,,4 weeks,5G enabled,https://yaqoot.sa/en#voice-packages
,Virgin Mobile,MBB 50GB - 1 Month,Data-only,97.75,50,-,-,-,-,,1 month,5G,https://virginmobile.sa/join/#/category
,Virgin Mobile,MBB 100GB - 1 Month,Data-only,172.5,100,-,-,-,-,,1 month,5G,https://virginmobile.sa/join/#/category
,Virgin Mobile,MBB 100GB - 3 Months,Data-only,253,100,-,-,-,-,,3 months,5G,https://virginmobile.sa/join/#/category
,Virgin Mobile,MBB 300GB - 3 Months,Data-only,345,300,-,-,-,-,,3 months,5G,https://virginmobile.sa/join/#/category
,Virgin Mobile,MBB 500GB - 1 Year,Data-only,920,500,-,-,-,-,,1 year,5G,https://virginmobile.sa/join/#/category
,Salam,Solo 199,Prepaid,228.85,80,Unlimited,1800,100,Unlimited,,30 days,40GB Data Rollover,https://salammobile.sa/en/solo-199-prepaid/
,Zain,Shabab 229,Prepaid,229,103,Unlimited,1150,-,-,,4 weeks,Extra benefit,https://shop.sa.zain.com/en/product/prepaid-voice-shabab-digital/shabab-229-2023
,Virgin Mobile,Switch 200,Postpaid,230,90,Unlimited,Unlimited,-,Unlimited,,-,-,https://virginmobile.sa/join/#/category
,Jawwy,Jawwy 200,Prepaid,230,101,Unlimited,1300,-,-,,30 days,-,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwy-200-hybrid.html
,Jawwy,Jawwy 200 Basic,Prepaid,230,97,Unlimited,Unlimited,-,-,,30 days,-,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwysim200.html
,Zain,Postpaid 250,Postpaid,240,109,Unlimited,1100,-,-,,-,"4GB GCC roaming, 2 Data SIMs, Bronze vanity",https://shop.sa.zain.com/en/product/postpaid-250
